scenario,condition,protocol_seed,bsc,query_index,target_id,target_present,candidate_original_id,candidate_cosine,cache_reuse,verifier_good,bad_reuse,identity_match,audit_mismatches,audit_boundary,protocol_bits,fallback_bits,completion_bits
full,paired_iid,13181815969110816250,0.0,0,1000021,1,1000021,0.9327563088954829,1,1,0,1,89,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,1,1000024,1,1000024,0.9461365309012937,1,1,0,1,78,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,2,1000051,1,1000051,0.9447141911744628,1,1,0,1,92,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,3,1000057,1,1000057,0.9013850739839939,1,1,0,1,118,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,4,1000061,1,1000061,0.8511311310762404,0,1,0,1,149,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,5,1000062,1,1000062,0.9234240286589186,1,1,0,1,84,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,6,1000087,1,1000087,0.8995014693815208,1,1,0,1,103,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,7,1000108,1,1000108,0.8846940112275342,1,1,0,1,109,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,8,1000191,1,1000191,0.8078459512263083,1,1,0,1,140,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,9,1000226,1,1000226,0.8288728617710643,1,1,0,1,139,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,10,1000254,1,1000254,0.9727509912897285,1,1,0,1,52,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,11,1000259,1,1000259,0.8543667010756827,1,1,0,1,122,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,12,1000277,1,1000277,0.8854047908081115,1,1,0,1,121,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,13,1000279,1,1000279,0.8965203027711439,1,1,0,1,103,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,14,1000332,1,1000332,0.9270678929461929,1,1,0,1,89,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,15,1000345,1,1000345,0.9017071135792568,1,1,0,1,119,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,16,1000372,1,1000372,0.9040368611819363,1,1,0,1,103,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,17,1000415,1,1000415,0.9357465477840955,1,1,0,1,94,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,18,1000421,1,1000421,0.9172796644230764,1,1,0,1,93,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,19,1000446,1,1000446,0.9547261298777052,1,1,0,1,83,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,20,1000471,1,1000471,0.9086960622387941,1,1,0,1,83,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,21,1000476,1,1000476,0.9280543289311375,1,1,0,1,96,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,22,1000494,1,1000494,0.9500057957666903,1,1,0,1,84,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,23,1000496,1,1000496,0.799554852362719,1,1,0,1,137,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,24,1000525,1,1000525,0.8432690406016774,1,1,0,1,137,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,25,1000534,1,1000534,0.7102737786370821,0,0,0,1,207,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,26,1000589,1,1000589,0.847962163476601,1,1,0,1,119,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,27,1000590,1,1000590,0.9600869642798624,1,1,0,1,62,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,28,1000626,1,1006840,0.8432825972404512,0,1,0,0,148,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,29,1000636,1,1000636,0.9669823155582422,1,1,0,1,72,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,30,1000646,1,1000646,0.89939707692577,1,1,0,1,117,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,31,1000682,1,1000682,0.9127134639217236,1,1,0,1,110,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,32,1000739,1,1000739,0.9391971805986027,1,1,0,1,85,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,33,1000753,1,1000753,0.9127439995220819,1,1,0,1,98,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,34,1000756,1,1001204,0.8222396647134984,0,1,0,0,145,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,35,1000764,1,1000764,0.9124259973122042,1,1,0,1,90,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,36,1000774,1,1000774,0.8957938262580237,1,1,0,1,98,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,37,1000793,1,1000793,0.9184500031612253,1,1,0,1,92,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,38,1000816,1,1002503,0.7602671172744171,0,0,0,0,165,141,1944,4272,6216
